source,sourcesystemid
Lubes,100111
Lubes,100121
Lubes,100142
Lubes,100149
Lubes,100154
Lubes,100172
Lubes,100204
Lubes,100208
Lubes,100211
Lubes,100212
Lubes,100230
Lubes,100242
Lubes,100269
Lubes,100287
Lubes,100296
Lubes,100312
Lubes,100315
Lubes,100329
Lubes,100331
Lubes,100334
Lubes,100336
Lubes,100360
Lubes,100363
Lubes,100373
Lubes,100394
Lubes,100398
Lubes,100409
Lubes,100417
Lubes,100418
Lubes,100419
Lubes,100420
Lubes,100421
Lubes,100423
Lubes,100437
Lubes,100453
Lubes,100462
Lubes,100486
Lubes,100491
Lubes,100496
Lubes,100500
Lubes,100506
Lubes,100535
Lubes,100548
Lubes,100559
Lubes,100588
Lubes,100597
Lubes,100598
Lubes,100599
Lubes,100600
Lubes,100614
Lubes,100616
Lubes,100619
Lubes,100628
Lubes,100699
Lubes,100700
Lubes,100735
Lubes,100736
Lubes,100737
Lubes,100738
Lubes,100739
Lubes,100747
Lubes,100764
Lubes,100768
Lubes,100782
Lubes,100790
Lubes,100823
Lubes,100826
Lubes,100832
Lubes,100840
Lubes,100846
Lubes,100878
Lubes,100906
Lubes,100907
Lubes,100914
Lubes,100932
Lubes,100964
Lubes,100979
Lubes,100993
Lubes,100997
Lubes,101040
Lubes,101048
Lubes,101057
Lubes,101065
Lubes,101067
Lubes,101072
Lubes,101090
Lubes,101095
Lubes,101118
Lubes,101123
Lubes,101142
Lubes,101144
Lubes,101157
Lubes,101161
Lubes,101168
Lubes,101171
Lubes,101176
Lubes,101178
Lubes,101180
Lubes,101205
Lubes,101228
Lubes,101242
Lubes,101248
Lubes,101251
Lubes,102287
Lubes,102298
Lubes,102301
Lubes,102353
Lubes,102374
Lubes,102475
Lubes,102490
Lubes,102536
Lubes,102619
Lubes,102623
Lubes,102662
Lubes,102732
Lubes,102736
Lubes,102743
Lubes,102827
Lubes,102856
Lubes,102873
Lubes,102884
Lubes,102913
Lubes,102914
Lubes,102918
Lubes,102955
Lubes,102960
Lubes,103004
Lubes,103019
Lubes,103038
Lubes,103093
Lubes,103323
Lubes,103362
Lubes,103391
Lubes,103442
Lubes,103468
Lubes,103485
Lubes,103537
Lubes,103607
Lubes,103639
Lubes,103750
Lubes,103791
Lubes,103817
Lubes,103818
Lubes,103837
Lubes,103856
Lubes,103944
Lubes,103953
Lubes,103980
Lubes,104044
Lubes,104089
Lubes,104177
Lubes,104213
Lubes,104228
Lubes,104254
Lubes,104259
Lubes,104298
Lubes,104360
Lubes,104432
Lubes,104447
Lubes,104457
Lubes,104461
Lubes,104462
Lubes,104486
Lubes,104509
Lubes,104527
Lubes,104532
Lubes,104564
Lubes,104579
Lubes,104607
Lubes,104611
Lubes,104648
Lubes,104971
Lubes,105033
Lubes,105058
Lubes,105059
Lubes,105060
Lubes,105061
Lubes,105063
AF,125
AF,170
AF,299
AF,378
AF,441
AF,490
AF,681
AF,955
AF,961
AF,1047
AF,1076
AF,1130
AF,1146
AF,1152
AF,1155
AF,1172
AF,1186
AF,1190
AF,1204
AF,1376
AF,1380
AF,1382
AF,1480
AF,1509
AF,1546
AF,1950
AF,2005
AF,2078
AF,2193
AF,2225
AF,2390
AF,2411
AF,2455
AF,2607
AF,2634
AF,2636
AF,2710
AF,2783
AF,2788
AF,3305
AF,3320
AF,3466
AF,3568
AF,3744
AF,3837
AF,3838
AF,3932
AF,4022
AF,4033
AF,4220
AF,4235
AF,4270
AF,4366
AF,4929
AF,5242
AF,5257
AF,5338
AF,5655
AF,5729
AF,6279
AF,6337
AF,6375
AF,6834
AF,7629
AF,7636
AF,7712
AF,7891
AF,8073
AF,8076
AF,8081
AF,8276
AF,8293
AF,8328
AF,8782
AF,8889
AF,9156
AF,9582
AF,9868
AF,10063
AF,12504
AF,12863
AF,12958
AF,12963
AF,13252
AF,13325
AF,14004
AF,14037
AF,14101
AF,14262
AF,14451
AF,18288
AF,18349
AF,19060
AF,19974
AF,20148
AF,20156
AF,21468
AF,22138
AF,23200
AF,24007
AF,24024
AF,24094
AF,24138
AF,24168
AF,24187
AF,24211
AF,24224
AF,24270
AF,24323
AF,24329
AF,24330
AF,24360
AF,24369
AF,24386
AF,24396
AF,24421
AF,24460
AF,24525
AF,24594
AF,24606
AF,24643
AF,24900
AF,25256
AF,25306
AF,25308
AF,25351
AF,25448
AF,25460
AF,25483
AF,25521
AF,25534
AF,26012
AF,27048
AF,27096
AF,29579
AF,29629
AF,30457
AF,32598
AF,32700
AF,33099
AF,33186
AF,33267
AF,34452
AF,35060
AF,36681
AF,38366
AF,40700
AF,41846
AF,42260
AF,43009
